1959/01/01,1958/11/22,友引です
1959/01/02,1958/11/23,先負です
1959/01/03,1958/11/24,仏滅です
1959/01/04,1958/11/25,大安です
1959/01/05,1958/11/26,赤口です
1959/01/06,1958/11/27,先勝です
1959/01/07,1958/11/28,友引です
1959/01/08,1958/11/29,先負です
1959/01/09,1958/12/01,赤口です
1959/01/10,1958/12/02,先勝です
1959/01/11,1958/12/03,友引です
1959/01/12,1958/12/04,先負です
1959/01/13,1958/12/05,仏滅です
1959/01/14,1958/12/06,大安です
1959/01/15,1958/12/07,赤口です
1959/01/16,1958/12/08,先勝です
1959/01/17,1958/12/09,友引です
1959/01/18,1958/12/10,先負です
1959/01/19,1958/12/11,仏滅です
1959/01/20,1958/12/12,大安です
1959/01/21,1958/12/13,赤口です
1959/01/22,1958/12/14,先勝です
1959/01/23,1958/12/15,友引です
1959/01/24,1958/12/16,先負です
1959/01/25,1958/12/17,仏滅です
1959/01/26,1958/12/18,大安です
1959/01/27,1958/12/19,赤口です
1959/01/28,1958/12/20,先勝です
1959/01/29,1958/12/21,友引です
1959/01/30,1958/12/22,先負です
1959/01/31,1958/12/23,仏滅です
1959/02/01,1958/12/24,大安です
1959/02/02,1958/12/25,赤口です
1959/02/03,1958/12/26,先勝です
1959/02/04,1958/12/27,友引です
1959/02/05,1958/12/28,先負です
1959/02/06,1958/12/29,仏滅です
1959/02/07,1958/12/30,大安です
1959/02/08,1959/01/01,先勝です
1959/02/09,1959/01/02,友引です
1959/02/10,1959/01/03,先負です
1959/02/11,1959/01/04,仏滅です
1959/02/12,1959/01/05,大安です
1959/02/13,1959/01/06,赤口です
1959/02/14,1959/01/07,先勝です
1959/02/15,1959/01/08,友引です
1959/02/16,1959/01/09,先負です
1959/02/17,1959/01/10,仏滅です
1959/02/18,1959/01/11,大安です
1959/02/19,1959/01/12,赤口です
1959/02/20,1959/01/13,先勝です
1959/02/21,1959/01/14,友引です
1959/02/22,1959/01/15,先負です
1959/02/23,1959/01/16,仏滅です
1959/02/24,1959/01/17,大安です
1959/02/25,1959/01/18,赤口です
1959/02/26,1959/01/19,先勝です
1959/02/27,1959/01/20,友引です
1959/02/28,1959/01/21,先負です
1959/03/01,1959/01/22,仏滅です
1959/03/02,1959/01/23,大安です
1959/03/03,1959/01/24,赤口です
1959/03/04,1959/01/25,先勝です
1959/03/05,1959/01/26,友引です
1959/03/06,1959/01/27,先負です
1959/03/07,1959/01/28,仏滅です
1959/03/08,1959/01/29,大安です
1959/03/09,1959/02/01,友引です
1959/03/10,1959/02/02,先負です
1959/03/11,1959/02/03,仏滅です
1959/03/12,1959/02/04,大安です
1959/03/13,1959/02/05,赤口です
1959/03/14,1959/02/06,先勝です
1959/03/15,1959/02/07,友引です
1959/03/16,1959/02/08,先負です
1959/03/17,1959/02/09,仏滅です
1959/03/18,1959/02/10,大安です
1959/03/19,1959/02/11,赤口です
1959/03/20,1959/02/12,先勝です
1959/03/21,1959/02/13,友引です
1959/03/22,1959/02/14,先負です
1959/03/23,1959/02/15,仏滅です
1959/03/24,1959/02/16,大安です
1959/03/25,1959/02/17,赤口です
1959/03/26,1959/02/18,先勝です
1959/03/27,1959/02/19,友引です
1959/03/28,1959/02/20,先負です
1959/03/29,1959/02/21,仏滅です
1959/03/30,1959/02/22,大安です
1959/03/31,1959/02/23,赤口です
1959/04/01,1959/02/24,先勝です
1959/04/02,1959/02/25,友引です
1959/04/03,1959/02/26,先負です
1959/04/04,1959/02/27,仏滅です
1959/04/05,1959/02/28,大安です
1959/04/06,1959/03/01,先負です
1959/04/07,1959/03/02,仏滅です
1959/04/08,1959/03/01,先負です
1959/04/09,1959/03/02,仏滅です
1959/04/10,1959/03/03,大安です
1959/04/11,1959/03/04,赤口です
1959/04/12,1959/03/05,先勝です
1959/04/13,1959/03/06,友引です
1959/04/14,1959/03/07,先負です
1959/04/15,1959/03/08,仏滅です
1959/04/16,1959/03/09,大安です
1959/04/17,1959/03/10,赤口です
1959/04/18,1959/03/11,先勝です
1959/04/19,1959/03/12,友引です
1959/04/20,1959/03/13,先負です
1959/04/21,1959/03/14,仏滅です
1959/04/22,1959/03/15,大安です
1959/04/23,1959/03/16,赤口です
1959/04/24,1959/03/17,先勝です
1959/04/25,1959/03/18,友引です
1959/04/26,1959/03/19,先負です
1959/04/27,1959/03/20,仏滅です
1959/04/28,1959/03/21,大安です
1959/04/29,1959/03/22,赤口です
1959/04/30,1959/03/23,先勝です
1959/05/01,1959/03/24,友引です
1959/05/02,1959/03/25,先負です
1959/05/03,1959/03/26,仏滅です
1959/05/04,1959/03/27,大安です
1959/05/05,1959/03/28,赤口です
1959/05/06,1959/03/29,先勝です
1959/05/07,1959/03/30,友引です
1959/05/08,1959/04/01,仏滅です
1959/05/09,1959/04/02,大安です
1959/05/10,1959/04/03,赤口です
1959/05/11,1959/04/04,先勝です
1959/05/12,1959/04/05,友引です
1959/05/13,1959/04/06,先負です
1959/05/14,1959/04/07,仏滅です
1959/05/15,1959/04/08,大安です
1959/05/16,1959/04/09,赤口です
1959/05/17,1959/04/10,先勝です
1959/05/18,1959/04/11,友引です
1959/05/19,1959/04/12,先負です
1959/05/20,1959/04/13,仏滅です
1959/05/21,1959/04/14,大安です
1959/05/22,1959/04/15,赤口です
1959/05/23,1959/04/16,先勝です
1959/05/24,1959/04/17,友引です
1959/05/25,1959/04/18,先負です
1959/05/26,1959/04/19,仏滅です
1959/05/27,1959/04/20,大安です
1959/05/28,1959/04/21,赤口です
1959/05/29,1959/04/22,先勝です
1959/05/30,1959/04/23,友引です
1959/05/31,1959/04/24,先負です
1959/06/01,1959/04/25,仏滅です
1959/06/02,1959/04/26,大安です
1959/06/03,1959/04/27,赤口です
1959/06/04,1959/04/28,先勝です
1959/06/05,1959/04/29,友引です
1959/06/06,1959/05/01,大安です
1959/06/07,1959/05/02,赤口です
1959/06/08,1959/05/03,先勝です
1959/06/09,1959/05/04,友引です
1959/06/10,1959/05/05,先負です
1959/06/11,1959/05/06,仏滅です
1959/06/12,1959/05/07,大安です
1959/06/13,1959/05/08,赤口です
1959/06/14,1959/05/09,先勝です
1959/06/15,1959/05/10,友引です
1959/06/16,1959/05/11,先負です
1959/06/17,1959/05/12,仏滅です
1959/06/18,1959/05/13,大安です
1959/06/19,1959/05/14,赤口です
1959/06/20,1959/05/15,先勝です
1959/06/21,1959/05/16,友引です
1959/06/22,1959/05/17,先負です
1959/06/23,1959/05/18,仏滅です
1959/06/24,1959/05/19,大安です
1959/06/25,1959/05/20,赤口です
1959/06/26,1959/05/21,先勝です
1959/06/27,1959/05/22,友引です
1959/06/28,1959/05/23,先負です
1959/06/29,1959/05/24,仏滅です
1959/06/30,1959/05/25,大安です
1959/07/01,1959/05/26,赤口です
1959/07/02,1959/05/27,先勝です
1959/07/03,1959/05/28,友引です
1959/07/04,1959/05/29,先負です
1959/07/05,1959/05/30,仏滅です
1959/07/06,1959/06/01,赤口です
1959/07/07,1959/06/02,先勝です
1959/07/08,1959/06/03,友引です
1959/07/09,1959/06/04,先負です
1959/07/10,1959/06/05,仏滅です
1959/07/11,1959/06/06,大安です
1959/07/12,1959/06/07,赤口です
1959/07/13,1959/06/08,先勝です
1959/07/14,1959/06/09,友引です
1959/07/15,1959/06/10,先負です
1959/07/16,1959/06/11,仏滅です
1959/07/17,1959/06/12,大安です
1959/07/18,1959/06/13,赤口です
1959/07/19,1959/06/14,先勝です
1959/07/20,1959/06/15,友引です
1959/07/21,1959/06/16,先負です
1959/07/22,1959/06/17,仏滅です
1959/07/23,1959/06/18,大安です
1959/07/24,1959/06/19,赤口です
1959/07/25,1959/06/20,先勝です
1959/07/26,1959/06/21,友引です
1959/07/27,1959/06/22,先負です
1959/07/28,1959/06/23,仏滅です
1959/07/29,1959/06/24,大安です
1959/07/30,1959/06/25,赤口です
1959/07/31,1959/06/26,先勝です
1959/08/01,1959/06/27,友引です
1959/08/02,1959/06/28,先負です
1959/08/03,1959/06/29,仏滅です
1959/08/04,1959/07/01,先勝です
1959/08/05,1959/07/02,友引です
1959/08/06,1959/07/03,先負です
1959/08/07,1959/07/04,仏滅です
1959/08/08,1959/07/05,大安です
1959/08/09,1959/07/06,赤口です
1959/08/10,1959/07/07,先勝です
1959/08/11,1959/07/08,友引です
1959/08/12,1959/07/09,先負です
1959/08/13,1959/07/10,仏滅です
1959/08/14,1959/07/11,大安です
1959/08/15,1959/07/12,赤口です
1959/08/16,1959/07/13,先勝です
1959/08/17,1959/07/14,友引です
1959/08/18,1959/07/15,先負です
1959/08/19,1959/07/16,仏滅です
1959/08/20,1959/07/17,大安です
1959/08/21,1959/07/18,赤口です
1959/08/22,1959/07/19,先勝です
1959/08/23,1959/07/20,友引です
1959/08/24,1959/07/21,先負です
1959/08/25,1959/07/22,仏滅です
1959/08/26,1959/07/23,大安です
1959/08/27,1959/07/24,赤口です
1959/08/28,1959/07/25,先勝です
1959/08/29,1959/07/26,友引です
1959/08/30,1959/07/27,先負です
1959/08/31,1959/07/28,仏滅です
1959/09/01,1959/07/29,大安です
1959/09/02,1959/07/30,赤口です
1959/09/03,1959/08/01,友引です
1959/09/04,1959/08/02,先負です
1959/09/05,1959/08/03,仏滅です
1959/09/06,1959/08/04,大安です
1959/09/07,1959/08/05,赤口です
1959/09/08,1959/08/06,先勝です
1959/09/09,1959/08/07,友引です
1959/09/10,1959/08/08,先負です
1959/09/11,1959/08/09,仏滅です
1959/09/12,1959/08/10,大安です
1959/09/13,1959/08/11,赤口です
1959/09/14,1959/08/12,先勝です
1959/09/15,1959/08/13,友引です
1959/09/16,1959/08/14,先負です
1959/09/17,1959/08/15,仏滅です
1959/09/18,1959/08/16,大安です
1959/09/19,1959/08/17,赤口です
1959/09/20,1959/08/18,先勝です
1959/09/21,1959/08/19,友引です
1959/09/22,1959/08/20,先負です
1959/09/23,1959/08/21,仏滅です
1959/09/24,1959/08/22,大安です
1959/09/25,1959/08/23,赤口です
1959/09/26,1959/08/24,先勝です
1959/09/27,1959/08/25,友引です
1959/09/28,1959/08/26,先負です
1959/09/29,1959/08/27,仏滅です
1959/09/30,1959/08/28,大安です
1959/10/01,1959/08/29,赤口です
1959/10/02,1959/09/01,先負です
1959/10/03,1959/09/02,仏滅です
1959/10/04,1959/09/03,大安です
1959/10/05,1959/09/04,赤口です
1959/10/06,1959/09/05,先勝です
1959/10/07,1959/09/06,友引です
1959/10/08,1959/09/07,先負です
1959/10/09,1959/09/08,仏滅です
1959/10/10,1959/09/09,大安です
1959/10/11,1959/09/10,赤口です
1959/10/12,1959/09/11,先勝です
1959/10/13,1959/09/12,友引です
1959/10/14,1959/09/13,先負です
1959/10/15,1959/09/14,仏滅です
1959/10/16,1959/09/15,大安です
1959/10/17,1959/09/16,赤口です
1959/10/18,1959/09/17,先勝です
1959/10/19,1959/09/18,友引です
1959/10/20,1959/09/19,先負です
1959/10/21,1959/09/20,仏滅です
1959/10/22,1959/09/21,大安です
1959/10/23,1959/09/22,赤口です
1959/10/24,1959/09/23,先勝です
1959/10/25,1959/09/24,友引です
1959/10/26,1959/09/25,先負です
1959/10/27,1959/09/26,仏滅です
1959/10/28,1959/09/27,大安です
1959/10/29,1959/09/28,赤口です
1959/10/30,1959/09/29,先勝です
1959/10/31,1959/09/30,友引です
1959/11/01,1959/10/01,仏滅です
1959/11/02,1959/10/02,大安です
1959/11/03,1959/10/03,赤口です
1959/11/04,1959/10/04,先勝です
1959/11/05,1959/10/05,友引です
1959/11/06,1959/10/06,先負です
1959/11/07,1959/10/07,仏滅です
1959/11/08,1959/10/08,大安です
1959/11/09,1959/10/09,赤口です
1959/11/10,1959/10/10,先勝です
1959/11/11,1959/10/11,友引です
1959/11/12,1959/10/12,先負です
1959/11/13,1959/10/13,仏滅です
1959/11/14,1959/10/14,大安です
1959/11/15,1959/10/15,赤口です
1959/11/16,1959/10/16,先勝です
1959/11/17,1959/10/17,友引です
1959/11/18,1959/10/18,先負です
1959/11/19,1959/10/19,仏滅です
1959/11/20,1959/10/20,大安です
1959/11/21,1959/10/21,赤口です
1959/11/22,1959/10/22,先勝です
1959/11/23,1959/10/23,友引です
1959/11/24,1959/10/24,先負です
1959/11/25,1959/10/25,仏滅です
1959/11/26,1959/10/26,大安です
1959/11/27,1959/10/27,赤口です
1959/11/28,1959/10/28,先勝です
1959/11/29,1959/10/29,友引です
1959/11/30,1959/11/01,大安です
1959/12/01,1959/11/02,赤口です
1959/12/02,1959/11/03,先勝です
1959/12/03,1959/11/04,友引です
1959/12/04,1959/11/05,先負です
1959/12/05,1959/11/06,仏滅です
1959/12/06,1959/11/07,大安です
1959/12/07,1959/11/08,赤口です
1959/12/08,1959/11/09,先勝です
1959/12/09,1959/11/10,友引です
1959/12/10,1959/11/11,先負です
1959/12/11,1959/11/12,仏滅です
1959/12/12,1959/11/13,大安です
1959/12/13,1959/11/14,赤口です
1959/12/14,1959/11/15,先勝です
1959/12/15,1959/11/16,友引です
1959/12/16,1959/11/17,先負です
1959/12/17,1959/11/18,仏滅です
1959/12/18,1959/11/19,大安です
1959/12/19,1959/11/20,赤口です
1959/12/20,1959/11/21,先勝です
1959/12/21,1959/11/22,友引です
1959/12/22,1959/11/23,先負です
1959/12/23,1959/11/24,仏滅です
1959/12/24,1959/11/25,大安です
1959/12/25,1959/11/26,赤口です
1959/12/26,1959/11/27,先勝です
