1939/01/01,1938/11/11,先負です
1939/01/02,1938/11/12,仏滅です
1939/01/03,1938/11/13,大安です
1939/01/04,1938/11/14,赤口です
1939/01/05,1938/11/15,先勝です
1939/01/06,1938/11/16,友引です
1939/01/07,1938/11/17,先負です
1939/01/08,1938/11/18,仏滅です
1939/01/09,1938/11/19,大安です
1939/01/10,1938/11/20,赤口です
1939/01/11,1938/11/21,先勝です
1939/01/12,1938/11/22,友引です
1939/01/13,1938/11/23,先負です
1939/01/14,1938/11/24,仏滅です
1939/01/15,1938/11/25,大安です
1939/01/16,1938/11/26,赤口です
1939/01/17,1938/11/27,先勝です
1939/01/18,1938/11/28,友引です
1939/01/19,1938/11/29,先負です
1939/01/20,1938/12/01,赤口です
1939/01/21,1938/12/02,先勝です
1939/01/22,1938/12/03,友引です
1939/01/23,1938/12/04,先負です
1939/01/24,1938/12/05,仏滅です
1939/01/25,1938/12/06,大安です
1939/01/26,1938/12/07,赤口です
1939/01/27,1938/12/08,先勝です
1939/01/28,1938/12/09,友引です
1939/01/29,1938/12/10,先負です
1939/01/30,1938/12/11,仏滅です
1939/01/31,1938/12/12,大安です
1939/02/01,1938/12/13,赤口です
1939/02/02,1938/12/14,先勝です
1939/02/03,1938/12/15,友引です
1939/02/04,1938/12/16,先負です
1939/02/05,1938/12/17,仏滅です
1939/02/06,1938/12/18,大安です
1939/02/07,1938/12/19,赤口です
1939/02/08,1938/12/20,先勝です
1939/02/09,1938/12/21,友引です
1939/02/10,1938/12/22,先負です
1939/02/11,1938/12/23,仏滅です
1939/02/12,1938/12/24,大安です
1939/02/13,1938/12/25,赤口です
1939/02/14,1938/12/26,先勝です
1939/02/15,1938/12/27,友引です
1939/02/16,1938/12/28,先負です
1939/02/17,1938/12/29,仏滅です
1939/02/18,1938/12/30,大安です
1939/02/19,1939/01/01,先勝です
1939/02/20,1939/01/02,友引です
1939/02/21,1939/01/03,先負です
1939/02/22,1939/01/04,仏滅です
1939/02/23,1939/01/05,大安です
1939/02/24,1939/01/06,赤口です
1939/02/25,1939/01/07,先勝です
1939/02/26,1939/01/08,友引です
1939/02/27,1939/01/09,先負です
1939/02/28,1939/01/10,仏滅です
1939/03/01,1939/01/11,大安です
1939/03/02,1939/01/12,赤口です
1939/03/03,1939/01/13,先勝です
1939/03/04,1939/01/14,友引です
1939/03/05,1939/01/15,先負です
1939/03/06,1939/01/16,仏滅です
1939/03/07,1939/01/17,大安です
1939/03/08,1939/01/18,赤口です
1939/03/09,1939/01/19,先勝です
1939/03/10,1939/01/20,友引です
1939/03/11,1939/01/21,先負です
1939/03/12,1939/01/22,仏滅です
1939/03/13,1939/01/23,大安です
1939/03/14,1939/01/24,赤口です
1939/03/15,1939/01/25,先勝です
1939/03/16,1939/01/26,友引です
1939/03/17,1939/01/27,先負です
1939/03/18,1939/01/28,仏滅です
1939/03/19,1939/01/29,大安です
1939/03/20,1939/01/30,赤口です
1939/03/21,1939/02/01,友引です
1939/03/22,1939/02/02,先負です
1939/03/23,1939/02/03,仏滅です
1939/03/24,1939/02/04,大安です
1939/03/25,1939/02/05,赤口です
1939/03/26,1939/02/06,先勝です
1939/03/27,1939/02/07,友引です
1939/03/28,1939/02/08,先負です
1939/03/29,1939/02/09,仏滅です
1939/03/30,1939/02/10,大安です
1939/03/31,1939/02/11,赤口です
1939/04/01,1939/02/12,先勝です
1939/04/02,1939/02/13,友引です
1939/04/03,1939/02/14,先負です
1939/04/04,1939/02/15,仏滅です
1939/04/05,1939/02/16,大安です
1939/04/06,1939/02/17,赤口です
1939/04/07,1939/02/18,先勝です
1939/04/08,1939/02/19,友引です
1939/04/09,1939/02/20,先負です
