1984/01/01,1983/11/29,先負です
1984/01/02,1983/11/30,仏滅です
1984/01/03,1983/12/01,赤口です
1984/01/04,1983/12/02,先勝です
1984/01/05,1983/12/03,友引です
1984/01/06,1983/12/04,先負です
1984/01/07,1983/12/05,仏滅です
1984/01/08,1983/12/06,大安です
1984/01/09,1983/12/07,赤口です
1984/01/10,1983/12/08,先勝です
1984/01/11,1983/12/09,友引です
1984/01/12,1983/12/10,先負です
1984/01/13,1983/12/11,仏滅です
1984/01/14,1983/12/12,大安です
1984/01/15,1983/12/13,赤口です
1984/01/16,1983/12/14,先勝です
1984/01/17,1983/12/15,友引です
1984/01/18,1983/12/16,先負です
1984/01/19,1983/12/17,仏滅です
1984/01/20,1983/12/18,大安です
1984/01/21,1983/12/19,赤口です
1984/01/22,1983/12/20,先勝です
1984/01/23,1983/12/21,友引です
1984/01/24,1983/12/22,先負です
1984/01/25,1983/12/23,仏滅です
1984/01/26,1983/12/24,大安です
1984/01/27,1983/12/25,赤口です
1984/01/28,1983/12/26,先勝です
1984/01/29,1983/12/27,友引です
1984/01/30,1983/12/28,先負です
1984/01/31,1983/12/29,仏滅です
1984/02/01,1983/12/30,大安です
1984/02/02,1984/01/01,先勝です
1984/02/03,1984/01/02,友引です
1984/02/04,1984/01/03,先負です
1984/02/05,1984/01/04,仏滅です
1984/02/06,1984/01/05,大安です
1984/02/07,1984/01/06,赤口です
1984/02/08,1984/01/07,先勝です
1984/02/09,1984/01/08,友引です
1984/02/10,1984/01/09,先負です
1984/02/11,1984/01/10,仏滅です
1984/02/12,1984/01/11,大安です
1984/02/13,1984/01/12,赤口です
1984/02/14,1984/01/13,先勝です
1984/02/15,1984/01/14,友引です
1984/02/16,1984/01/15,先負です
1984/02/17,1984/01/16,仏滅です
1984/02/18,1984/01/17,大安です
1984/02/19,1984/01/18,赤口です
1984/02/20,1984/01/19,先勝です
1984/02/21,1984/01/20,友引です
1984/02/22,1984/01/21,先負です
1984/02/23,1984/01/22,仏滅です
1984/02/24,1984/01/23,大安です
1984/02/25,1984/01/24,赤口です
1984/02/26,1984/01/25,先勝です
1984/02/27,1984/01/26,友引です
1984/02/28,1984/01/27,先負です
1984/02/29,1984/01/28,仏滅です
1984/03/01,1984/01/29,大安です
1984/03/02,1984/01/30,赤口です
1984/03/03,1984/02/01,友引です
1984/03/04,1984/02/02,先負です
