1999/01/01,1998/11/14,赤口です
1999/01/02,1998/11/15,先勝です
1999/01/03,1998/11/16,友引です
1999/01/04,1998/11/17,先負です
1999/01/05,1998/11/18,仏滅です
1999/01/06,1998/11/19,大安です
1999/01/07,1998/11/20,赤口です
1999/01/08,1998/11/21,先勝です
1999/01/09,1998/11/22,友引です
1999/01/10,1998/11/23,先負です
1999/01/11,1998/11/24,仏滅です
1999/01/12,1998/11/25,大安です
1999/01/13,1998/11/26,赤口です
1999/01/14,1998/11/27,先勝です
1999/01/15,1998/11/28,友引です
1999/01/16,1998/11/29,先負です
1999/01/17,1998/11/30,仏滅です
1999/01/18,1998/12/01,赤口です
1999/01/19,1998/12/02,先勝です
1999/01/20,1998/12/03,友引です
1999/01/21,1998/12/04,先負です
1999/01/22,1998/12/05,仏滅です
1999/01/23,1998/12/06,大安です
1999/01/24,1998/12/07,赤口です
1999/01/25,1998/12/08,先勝です
1999/01/26,1998/12/09,友引です
1999/01/27,1998/12/10,先負です
1999/01/28,1998/12/11,仏滅です
1999/01/29,1998/12/12,大安です
1999/01/30,1998/12/13,赤口です
1999/01/31,1998/12/14,先勝です
1999/02/01,1998/12/15,友引です
1999/02/02,1998/12/16,先負です
1999/02/03,1998/12/17,仏滅です
1999/02/04,1998/12/18,大安です
1999/02/05,1998/12/19,赤口です
1999/02/06,1998/12/20,先勝です
1999/02/07,1998/12/21,友引です
1999/02/08,1998/12/22,先負です
1999/02/09,1998/12/23,仏滅です
1999/02/10,1998/12/24,大安です
1999/02/11,1998/12/25,赤口です
1999/02/12,1998/12/26,先勝です
1999/02/13,1998/12/27,友引です
1999/02/14,1998/12/28,先負です
1999/02/15,1998/12/29,仏滅です
1999/02/16,1999/01/01,先勝です
1999/02/17,1999/01/02,友引です
1999/02/18,1999/01/03,先負です
1999/02/19,1999/01/04,仏滅です
1999/02/20,1999/01/05,大安です
1999/02/21,1999/01/06,赤口です
1999/02/22,1999/01/07,先勝です
1999/02/23,1999/01/08,友引です
1999/02/24,1999/01/09,先負です
1999/02/25,1999/01/10,仏滅です
1999/02/26,1999/01/11,大安です
1999/02/27,1999/01/12,赤口です
1999/02/28,1999/01/13,先勝です
1999/03/01,1999/01/14,友引です
1999/03/02,1999/01/15,先負です
1999/03/03,1999/01/16,仏滅です
1999/03/04,1999/01/17,大安です
1999/03/05,1999/01/18,赤口です
1999/03/06,1999/01/19,先勝です
1999/03/07,1999/01/20,友引です
1999/03/08,1999/01/21,先負です
1999/03/09,1999/01/22,仏滅です
1999/03/10,1999/01/23,大安です
1999/03/11,1999/01/24,赤口です
1999/03/12,1999/01/25,先勝です
1999/03/13,1999/01/26,友引です
1999/03/14,1999/01/27,先負です
1999/03/15,1999/01/28,仏滅です
1999/03/16,1999/01/29,大安です
1999/03/17,1999/01/30,赤口です
1999/03/18,1999/02/01,友引です
1999/03/19,1999/02/02,先負です
1999/03/20,1999/02/03,仏滅です
1999/03/21,1999/02/04,大安です
1999/03/22,1999/02/05,赤口です
1999/03/23,1999/02/06,先勝です
1999/03/24,1999/02/07,友引です
1999/03/25,1999/02/08,先負です
1999/03/26,1999/02/09,仏滅です
1999/03/27,1999/02/10,大安です
1999/03/28,1999/02/11,赤口です
1999/03/29,1999/02/12,先勝です
1999/03/30,1999/02/13,友引です
1999/03/31,1999/02/14,先負です
1999/04/01,1999/02/15,仏滅です
1999/04/02,1999/02/16,大安です
1999/04/03,1999/02/17,赤口です
1999/04/04,1999/02/18,先勝です
1999/04/05,1999/02/19,友引です
1999/04/06,1999/02/20,先負です
1999/04/07,1999/02/21,仏滅です
1999/04/08,1999/02/22,大安です
1999/04/09,1999/02/23,赤口です
1999/04/10,1999/02/24,先勝です
1999/04/11,1999/02/25,友引です
1999/04/12,1999/02/26,先負です
1999/04/13,1999/02/27,仏滅です
1999/04/14,1999/02/28,大安です
1999/04/15,1999/03/01,先負です
