2040/01/01,2039/11/17,先負です
2040/01/02,2039/11/18,仏滅です
2040/01/03,2039/11/19,大安です
2040/01/04,2039/11/20,赤口です
2040/01/05,2039/11/21,先勝です
2040/01/06,2039/11/22,友引です
2040/01/07,2039/11/23,先負です
2040/01/08,2039/11/24,仏滅です
2040/01/09,2039/11/25,大安です
2040/01/10,2039/11/26,赤口です
2040/01/11,2039/11/27,先勝です
2040/01/12,2039/11/28,友引です
2040/01/13,2039/11/29,先負です
2040/01/14,2039/12/01,赤口です
2040/01/15,2039/12/02,先勝です
2040/01/16,2039/12/03,友引です
2040/01/17,2039/12/04,先負です
2040/01/18,2039/12/05,仏滅です
2040/01/19,2039/12/06,大安です
2040/01/20,2039/12/07,赤口です
2040/01/21,2039/12/08,先勝です
2040/01/22,2039/12/09,友引です
2040/01/23,2039/12/10,先負です
2040/01/24,2039/12/11,仏滅です
2040/01/25,2039/12/12,大安です
2040/01/26,2039/12/13,赤口です
2040/01/27,2039/12/14,先勝です
2040/01/28,2039/12/15,友引です
2040/01/29,2039/12/16,先負です
2040/01/30,2039/12/17,仏滅です
2040/01/31,2039/12/18,大安です
2040/02/01,2039/12/19,赤口です
2040/02/02,2039/12/20,先勝です
2040/02/03,2039/12/21,友引です
2040/02/04,2039/12/22,先負です
2040/02/05,2039/12/23,仏滅です
2040/02/06,2039/12/24,大安です
2040/02/07,2039/12/25,赤口です
2040/02/08,2039/12/26,先勝です
2040/02/09,2039/12/27,友引です
2040/02/10,2039/12/28,先負です
2040/02/11,2039/12/29,仏滅です
2040/02/12,2040/01/01,先勝です
2040/02/13,2040/01/02,友引です
2040/02/14,2040/01/03,先負です
2040/02/15,2040/01/04,仏滅です
2040/02/16,2040/01/05,大安です
2040/02/17,2040/01/06,赤口です
2040/02/18,2040/01/07,先勝です
2040/02/19,2040/01/08,友引です
2040/02/20,2040/01/09,先負です
2040/02/21,2040/01/10,仏滅です
2040/02/22,2040/01/11,大安です
2040/02/23,2040/01/12,赤口です
2040/02/24,2040/01/13,先勝です
2040/02/25,2040/01/14,友引です
2040/02/26,2040/01/15,先負です
2040/02/27,2040/01/16,仏滅です
2040/02/28,2040/01/17,大安です
2040/02/29,2040/01/18,赤口です
2040/03/01,2040/01/19,先勝です
2040/03/02,2040/01/20,友引です
2040/03/03,2040/01/21,先負です
2040/03/04,2040/01/22,仏滅です
2040/03/05,2040/01/23,大安です
2040/03/06,2040/01/24,赤口です
2040/03/07,2040/01/25,先勝です
2040/03/08,2040/01/26,友引です
2040/03/09,2040/01/27,先負です
2040/03/10,2040/01/28,仏滅です
2040/03/11,2040/01/29,大安です
2040/03/12,2040/01/30,赤口です
2040/03/13,2040/02/01,友引です
2040/03/14,2040/02/02,先負です
2040/03/15,2040/02/03,仏滅です
2040/03/16,2040/02/04,大安です
2040/03/17,2040/02/05,赤口です
2040/03/18,2040/02/06,先勝です
2040/03/19,2040/02/07,友引です
2040/03/20,2040/02/08,先負です
2040/03/21,2040/02/09,仏滅です
2040/03/22,2040/02/10,大安です
2040/03/23,2040/02/11,赤口です
2040/03/24,2040/02/12,先勝です
2040/03/25,2040/02/13,友引です
2040/03/26,2040/02/14,先負です
2040/03/27,2040/02/15,仏滅です
2040/03/28,2040/02/16,大安です
2040/03/29,2040/02/17,赤口です
2040/03/30,2040/02/18,先勝です
2040/03/31,2040/02/19,友引です
2040/04/01,2040/02/20,先負です
2040/04/02,2040/02/21,仏滅です
2040/04/03,2040/02/22,大安です
2040/04/04,2040/02/23,赤口です
2040/04/05,2040/02/24,先勝です
2040/04/06,2040/02/25,友引です
2040/04/07,2040/02/26,先負です
2040/04/08,2040/02/27,仏滅です
2040/04/09,2040/02/28,大安です
2040/04/10,2040/02/29,赤口です
2040/04/11,2040/03/01,先負です
2040/04/12,2040/03/02,仏滅です
2040/04/13,2040/03/03,大安です
2040/04/14,2040/03/04,赤口です
2040/04/15,2040/03/05,先勝です
2040/04/16,2040/03/06,友引です
2040/04/17,2040/03/07,先負です
2040/04/18,2040/03/08,仏滅です
2040/04/19,2040/03/09,大安です
2040/04/20,2040/03/10,赤口です
2040/04/21,2040/03/11,先勝です
2040/04/22,2040/03/12,友引です
2040/04/23,2040/03/13,先負です
2040/04/24,2040/03/14,仏滅です
2040/04/25,2040/03/15,大安です
2040/04/26,2040/03/16,赤口です
2040/04/27,2040/03/17,先勝です
2040/04/28,2040/03/18,友引です
2040/04/29,2040/03/19,先負です
2040/04/30,2040/03/20,仏滅です
2040/05/01,2040/03/21,大安です
2040/05/02,2040/03/22,赤口です
2040/05/03,2040/03/23,先勝です
2040/05/04,2040/03/24,友引です
2040/05/05,2040/03/25,先負です
2040/05/06,2040/03/26,仏滅です
2040/05/07,2040/03/27,大安です
2040/05/08,2040/03/28,赤口です
2040/05/09,2040/03/29,先勝です
2040/05/10,2040/03/30,友引です
2040/05/11,2040/04/01,仏滅です
2040/05/12,2040/04/02,大安です
2040/05/13,2040/04/03,赤口です
2040/05/14,2040/04/04,先勝です
2040/05/15,2040/04/05,友引です
2040/05/16,2040/04/06,先負です
2040/05/17,2040/04/07,仏滅です
2040/05/18,2040/04/08,大安です
2040/05/19,2040/04/09,赤口です
2040/05/20,2040/04/10,先勝です
2040/05/21,2040/04/11,友引です
2040/05/22,2040/04/12,先負です
2040/05/23,2040/04/13,仏滅です
2040/05/24,2040/04/14,大安です
2040/05/25,2040/04/15,赤口です
2040/05/26,2040/04/16,先勝です
2040/05/27,2040/04/17,友引です
2040/05/28,2040/04/18,先負です
2040/05/29,2040/04/19,仏滅です
2040/05/30,2040/04/20,大安です
2040/05/31,2040/04/21,赤口です
2040/06/01,2040/04/22,先勝です
2040/06/02,2040/04/23,友引です
2040/06/03,2040/04/24,先負です
2040/06/04,2040/04/25,仏滅です
2040/06/05,2040/04/26,大安です
2040/06/06,2040/04/27,赤口です
2040/06/07,2040/04/28,先勝です
2040/06/08,2040/04/29,友引です
2040/06/09,2040/04/30,先負です
2040/06/10,2040/05/01,大安です
2040/06/11,2040/05/02,赤口です
2040/06/12,2040/05/03,先勝です
2040/06/13,2040/05/04,友引です
2040/06/14,2040/05/05,先負です
2040/06/15,2040/05/06,仏滅です
2040/06/16,2040/05/07,大安です
2040/06/17,2040/05/08,赤口です
2040/06/18,2040/05/09,先勝です
2040/06/19,2040/05/10,友引です
2040/06/20,2040/05/11,先負です
2040/06/21,2040/05/12,仏滅です
2040/06/22,2040/05/13,大安です
2040/06/23,2040/05/14,赤口です
2040/06/24,2040/05/15,先勝です
2040/06/25,2040/05/16,友引です
2040/06/26,2040/05/17,先負です
2040/06/27,2040/05/18,仏滅です
2040/06/28,2040/05/19,大安です
2040/06/29,2040/05/20,赤口です
2040/06/30,2040/05/21,先勝です
2040/07/01,2040/05/22,友引です
2040/07/02,2040/05/23,先負です
2040/07/03,2040/05/24,仏滅です
2040/07/04,2040/05/25,大安です
2040/07/05,2040/05/26,赤口です
2040/07/06,2040/05/27,先勝です
