2071/01/01,2070/12/01,赤口です
2071/01/02,2070/12/02,先勝です
2071/01/03,2070/12/03,友引です
2071/01/04,2070/12/04,先負です
2071/01/05,2070/12/05,仏滅です
2071/01/06,2070/12/06,大安です
2071/01/07,2070/12/07,赤口です
2071/01/08,2070/12/08,先勝です
2071/01/09,2070/12/09,友引です
2071/01/10,2070/12/10,先負です
2071/01/11,2070/12/11,仏滅です
2071/01/12,2070/12/12,大安です
2071/01/13,2070/12/13,赤口です
2071/01/14,2070/12/14,先勝です
2071/01/15,2070/12/15,友引です
2071/01/16,2070/12/16,先負です
2071/01/17,2070/12/17,仏滅です
2071/01/18,2070/12/18,大安です
2071/01/19,2070/12/19,赤口です
2071/01/20,2070/12/20,先勝です
2071/01/21,2070/12/21,友引です
2071/01/22,2070/12/22,先負です
2071/01/23,2070/12/23,仏滅です
2071/01/24,2070/12/24,大安です
2071/01/25,2070/12/25,赤口です
2071/01/26,2070/12/26,先勝です
2071/01/27,2070/12/27,友引です
2071/01/28,2070/12/28,先負です
2071/01/29,2070/12/29,仏滅です
2071/01/30,2070/12/30,大安です
2071/01/31,2071/01/01,先勝です
2071/02/01,2071/01/02,友引です
2071/02/02,2071/01/03,先負です
2071/02/03,2071/01/04,仏滅です
2071/02/04,2071/01/05,大安です
2071/02/05,2071/01/06,赤口です
2071/02/06,2071/01/07,先勝です
2071/02/07,2071/01/08,友引です
2071/02/08,2071/01/09,先負です
2071/02/09,2071/01/10,仏滅です
2071/02/10,2071/01/11,大安です
2071/02/11,2071/01/12,赤口です
2071/02/12,2071/01/13,先勝です
2071/02/13,2071/01/14,友引です
2071/02/14,2071/01/15,先負です
2071/02/15,2071/01/16,仏滅です
2071/02/16,2071/01/17,大安です
2071/02/17,2071/01/18,赤口です
2071/02/18,2071/01/19,先勝です
2071/02/19,2071/01/20,友引です
2071/02/20,2071/01/21,先負です
2071/02/21,2071/01/22,仏滅です
2071/02/22,2071/01/23,大安です
2071/02/23,2071/01/24,赤口です
2071/02/24,2071/01/25,先勝です
2071/02/25,2071/01/26,友引です
2071/02/26,2071/01/27,先負です
2071/02/27,2071/01/28,仏滅です
2071/02/28,2071/01/29,大安です
2071/03/01,2071/01/30,赤口です
2071/03/02,2071/02/01,友引です
2071/03/03,2071/02/02,先負です
2071/03/04,2071/02/03,仏滅です
2071/03/05,2071/02/04,大安です
2071/03/06,2071/02/05,赤口です
2071/03/07,2071/02/06,先勝です
2071/03/08,2071/02/07,友引です
2071/03/09,2071/02/08,先負です
2071/03/10,2071/02/09,仏滅です
2071/03/11,2071/02/10,大安です
2071/03/12,2071/02/11,赤口です
2071/03/13,2071/02/12,先勝です
2071/03/14,2071/02/13,友引です
2071/03/15,2071/02/14,先負です
2071/03/16,2071/02/15,仏滅です
2071/03/17,2071/02/16,大安です
2071/03/18,2071/02/17,赤口です
2071/03/19,2071/02/18,先勝です
2071/03/20,2071/02/19,友引です
2071/03/21,2071/02/20,先負です
2071/03/22,2071/02/21,仏滅です
2071/03/23,2071/02/22,大安です
2071/03/24,2071/02/23,赤口です
2071/03/25,2071/02/24,先勝です
2071/03/26,2071/02/25,友引です
2071/03/27,2071/02/26,先負です
2071/03/28,2071/02/27,仏滅です
2071/03/29,2071/02/28,大安です
2071/03/30,2071/03/01,先負です
2071/03/31,2071/03/02,仏滅です
2071/04/01,2071/03/01,先負です
2071/04/02,2071/03/02,仏滅です
2071/04/03,2071/03/03,大安です
2071/04/04,2071/03/04,赤口です
2071/04/05,2071/03/05,先勝です
2071/04/06,2071/03/06,友引です
2071/04/07,2071/03/07,先負です
2071/04/08,2071/03/08,仏滅です
2071/04/09,2071/03/09,大安です
2071/04/10,2071/03/10,赤口です
2071/04/11,2071/03/11,先勝です
2071/04/12,2071/03/12,友引です
2071/04/13,2071/03/13,先負です
2071/04/14,2071/03/14,仏滅です
2071/04/15,2071/03/15,大安です
2071/04/16,2071/03/16,赤口です
2071/04/17,2071/03/17,先勝です
2071/04/18,2071/03/18,友引です
2071/04/19,2071/03/19,先負です
2071/04/20,2071/03/20,仏滅です
2071/04/21,2071/03/21,大安です
2071/04/22,2071/03/22,赤口です
2071/04/23,2071/03/23,先勝です
2071/04/24,2071/03/24,友引です
2071/04/25,2071/03/25,先負です
2071/04/26,2071/03/26,仏滅です
2071/04/27,2071/03/27,大安です
2071/04/28,2071/03/28,赤口です
2071/04/29,2071/03/29,先勝です
2071/04/30,2071/04/01,仏滅です
2071/05/01,2071/04/02,大安です
2071/05/02,2071/04/03,赤口です
2071/05/03,2071/04/04,先勝です
2071/05/04,2071/04/05,友引です
2071/05/05,2071/04/06,先負です
2071/05/06,2071/04/07,仏滅です
2071/05/07,2071/04/08,大安です
2071/05/08,2071/04/09,赤口です
2071/05/09,2071/04/10,先勝です
2071/05/10,2071/04/11,友引です
2071/05/11,2071/04/12,先負です
2071/05/12,2071/04/13,仏滅です
2071/05/13,2071/04/14,大安です
2071/05/14,2071/04/15,赤口です
2071/05/15,2071/04/16,先勝です
2071/05/16,2071/04/17,友引です
2071/05/17,2071/04/18,先負です
2071/05/18,2071/04/19,仏滅です
2071/05/19,2071/04/20,大安です
2071/05/20,2071/04/21,赤口です
2071/05/21,2071/04/22,先勝です
2071/05/22,2071/04/23,友引です
2071/05/23,2071/04/24,先負です
2071/05/24,2071/04/25,仏滅です
2071/05/25,2071/04/26,大安です
2071/05/26,2071/04/27,赤口です
2071/05/27,2071/04/28,先勝です
2071/05/28,2071/04/29,友引です
2071/05/29,2071/05/01,大安です
2071/05/30,2071/05/02,赤口です
2071/05/31,2071/05/03,先勝です
2071/06/01,2071/05/04,友引です
2071/06/02,2071/05/05,先負です
2071/06/03,2071/05/06,仏滅です
2071/06/04,2071/05/07,大安です
2071/06/05,2071/05/08,赤口です
2071/06/06,2071/05/09,先勝です
2071/06/07,2071/05/10,友引です
2071/06/08,2071/05/11,先負です
2071/06/09,2071/05/12,仏滅です
2071/06/10,2071/05/13,大安です
2071/06/11,2071/05/14,赤口です
2071/06/12,2071/05/15,先勝です
2071/06/13,2071/05/16,友引です
2071/06/14,2071/05/17,先負です
2071/06/15,2071/05/18,仏滅です
2071/06/16,2071/05/19,大安です
2071/06/17,2071/05/20,赤口です
2071/06/18,2071/05/21,先勝です
2071/06/19,2071/05/22,友引です
2071/06/20,2071/05/23,先負です
2071/06/21,2071/05/24,仏滅です
2071/06/22,2071/05/25,大安です
