1960/01/01,1959/12/03,友引です
1960/01/02,1959/12/04,先負です
1960/01/03,1959/12/05,仏滅です
1960/01/04,1959/12/06,大安です
1960/01/05,1959/12/07,赤口です
1960/01/06,1959/12/08,先勝です
1960/01/07,1959/12/09,友引です
1960/01/08,1959/12/10,先負です
1960/01/09,1959/12/11,仏滅です
1960/01/10,1959/12/12,大安です
1960/01/11,1959/12/13,赤口です
1960/01/12,1959/12/14,先勝です
1960/01/13,1959/12/15,友引です
1960/01/14,1959/12/16,先負です
1960/01/15,1959/12/17,仏滅です
1960/01/16,1959/12/18,大安です
1960/01/17,1959/12/19,赤口です
1960/01/18,1959/12/20,先勝です
1960/01/19,1959/12/21,友引です
1960/01/20,1959/12/22,先負です
1960/01/21,1959/12/23,仏滅です
1960/01/22,1959/12/24,大安です
1960/01/23,1959/12/25,赤口です
1960/01/24,1959/12/26,先勝です
1960/01/25,1959/12/27,友引です
1960/01/26,1959/12/28,先負です
1960/01/27,1959/12/29,仏滅です
1960/01/28,1960/01/01,先勝です
1960/01/29,1960/01/02,友引です
1960/01/30,1960/01/03,先負です
1960/01/31,1960/01/04,仏滅です
1960/02/01,1960/01/05,大安です
1960/02/02,1960/01/06,赤口です
1960/02/03,1960/01/07,先勝です
1960/02/04,1960/01/08,友引です
1960/02/05,1960/01/09,先負です
1960/02/06,1960/01/10,仏滅です
1960/02/07,1960/01/11,大安です
1960/02/08,1960/01/12,赤口です
1960/02/09,1960/01/13,先勝です
1960/02/10,1960/01/14,友引です
1960/02/11,1960/01/15,先負です
1960/02/12,1960/01/16,仏滅です
1960/02/13,1960/01/17,大安です
1960/02/14,1960/01/18,赤口です
1960/02/15,1960/01/19,先勝です
1960/02/16,1960/01/20,友引です
1960/02/17,1960/01/21,先負です
1960/02/18,1960/01/22,仏滅です
1960/02/19,1960/01/23,大安です
1960/02/20,1960/01/24,赤口です
1960/02/21,1960/01/25,先勝です
1960/02/22,1960/01/26,友引です
1960/02/23,1960/01/27,先負です
1960/02/24,1960/01/28,仏滅です
1960/02/25,1960/01/29,大安です
1960/02/26,1960/01/30,赤口です
1960/02/27,1960/02/01,友引です
1960/02/28,1960/02/02,先負です
1960/02/29,1960/02/03,仏滅です
1960/03/01,1960/02/04,大安です
1960/03/02,1960/02/05,赤口です
1960/03/03,1960/02/06,先勝です
1960/03/04,1960/02/07,友引です
1960/03/05,1960/02/08,先負です
1960/03/06,1960/02/09,仏滅です
1960/03/07,1960/02/10,大安です
1960/03/08,1960/02/11,赤口です
1960/03/09,1960/02/12,先勝です
1960/03/10,1960/02/13,友引です
1960/03/11,1960/02/14,先負です
1960/03/12,1960/02/15,仏滅です
1960/03/13,1960/02/16,大安です
1960/03/14,1960/02/17,赤口です
1960/03/15,1960/02/18,先勝です
1960/03/16,1960/02/19,友引です
1960/03/17,1960/02/20,先負です
1960/03/18,1960/02/21,仏滅です
1960/03/19,1960/02/22,大安です
1960/03/20,1960/02/23,赤口です
1960/03/21,1960/02/24,先勝です
1960/03/22,1960/02/25,友引です
1960/03/23,1960/02/26,先負です
1960/03/24,1960/02/27,仏滅です
1960/03/25,1960/02/28,大安です
1960/03/26,1960/02/29,赤口です
1960/03/27,1960/03/01,先負です
1960/03/28,1960/03/02,仏滅です
1960/03/29,1960/03/03,大安です
1960/03/30,1960/03/04,赤口です
1960/03/31,1960/03/05,先勝です
1960/04/01,1960/03/06,友引です
1960/04/02,1960/03/07,先負です
1960/04/03,1960/03/08,仏滅です
1960/04/04,1960/03/09,大安です
1960/04/05,1960/03/10,赤口です
1960/04/06,1960/03/11,先勝です
1960/04/07,1960/03/12,友引です
1960/04/08,1960/03/13,先負です
1960/04/09,1960/03/14,仏滅です
1960/04/10,1960/03/15,大安です
1960/04/11,1960/03/16,赤口です
1960/04/12,1960/03/17,先勝です
1960/04/13,1960/03/18,友引です
1960/04/14,1960/03/19,先負です
1960/04/15,1960/03/20,仏滅です
1960/04/16,1960/03/21,大安です
1960/04/17,1960/03/22,赤口です
1960/04/18,1960/03/23,先勝です
1960/04/19,1960/03/24,友引です
1960/04/20,1960/03/25,先負です
1960/04/21,1960/03/26,仏滅です
1960/04/22,1960/03/27,大安です
1960/04/23,1960/03/28,赤口です
1960/04/24,1960/03/29,先勝です
1960/04/25,1960/03/30,友引です
1960/04/26,1960/04/01,仏滅です
1960/04/27,1960/04/02,大安です
1960/04/28,1960/04/03,赤口です
1960/04/29,1960/04/04,先勝です
1960/04/30,1960/04/05,友引です
1960/05/01,1960/04/06,先負です
1960/05/02,1960/04/07,仏滅です
1960/05/03,1960/04/08,大安です
1960/05/04,1960/04/09,赤口です
1960/05/05,1960/04/10,先勝です
1960/05/06,1960/04/11,友引です
1960/05/07,1960/04/12,先負です
1960/05/08,1960/04/13,仏滅です
1960/05/09,1960/04/14,大安です
1960/05/10,1960/04/15,赤口です
1960/05/11,1960/04/16,先勝です
