1914/01/01,1913/12/06,大安です
1914/01/02,1913/12/07,赤口です
1914/01/03,1913/12/08,先勝です
1914/01/04,1913/12/09,友引です
1914/01/05,1913/12/10,先負です
1914/01/06,1913/12/11,仏滅です
1914/01/07,1913/12/12,大安です
1914/01/08,1913/12/13,赤口です
1914/01/09,1913/12/14,先勝です
1914/01/10,1913/12/15,友引です
1914/01/11,1913/12/16,先負です
1914/01/12,1913/12/17,仏滅です
1914/01/13,1913/12/18,大安です
1914/01/14,1913/12/19,赤口です
1914/01/15,1913/12/20,先勝です
1914/01/16,1913/12/21,友引です
1914/01/17,1913/12/22,先負です
1914/01/18,1913/12/23,仏滅です
1914/01/19,1913/12/24,大安です
1914/01/20,1913/12/25,赤口です
1914/01/21,1913/12/26,先勝です
1914/01/22,1913/12/27,友引です
1914/01/23,1913/12/28,先負です
1914/01/24,1913/12/29,仏滅です
1914/01/25,1913/12/30,大安です
1914/01/26,1914/01/01,先勝です
1914/01/27,1914/01/02,友引です
1914/01/28,1914/01/03,先負です
1914/01/29,1914/01/04,仏滅です
1914/01/30,1914/01/05,大安です
1914/01/31,1914/01/06,赤口です
1914/02/01,1914/01/07,先勝です
1914/02/02,1914/01/08,友引です
1914/02/03,1914/01/09,先負です
1914/02/04,1914/01/10,仏滅です
1914/02/05,1914/01/11,大安です
1914/02/06,1914/01/12,赤口です
1914/02/07,1914/01/13,先勝です
1914/02/08,1914/01/14,友引です
1914/02/09,1914/01/15,先負です
1914/02/10,1914/01/16,仏滅です
1914/02/11,1914/01/17,大安です
1914/02/12,1914/01/18,赤口です
1914/02/13,1914/01/19,先勝です
1914/02/14,1914/01/20,友引です
1914/02/15,1914/01/21,先負です
1914/02/16,1914/01/22,仏滅です
1914/02/17,1914/01/23,大安です
1914/02/18,1914/01/24,赤口です
1914/02/19,1914/01/25,先勝です
1914/02/20,1914/01/26,友引です
1914/02/21,1914/01/27,先負です
1914/02/22,1914/01/28,仏滅です
1914/02/23,1914/01/29,大安です
1914/02/24,1914/01/30,赤口です
1914/02/25,1914/02/01,友引です
1914/02/26,1914/02/02,先負です
1914/02/27,1914/02/03,仏滅です
1914/02/28,1914/02/04,大安です
1914/03/01,1914/02/05,赤口です
1914/03/02,1914/02/06,先勝です
1914/03/03,1914/02/07,友引です
1914/03/04,1914/02/08,先負です
1914/03/05,1914/02/09,仏滅です
1914/03/06,1914/02/10,大安です
1914/03/07,1914/02/11,赤口です
1914/03/08,1914/02/12,先勝です
1914/03/09,1914/02/13,友引です
1914/03/10,1914/02/14,先負です
1914/03/11,1914/02/15,仏滅です
1914/03/12,1914/02/16,大安です
1914/03/13,1914/02/17,赤口です
1914/03/14,1914/02/18,先勝です
1914/03/15,1914/02/19,友引です
1914/03/16,1914/02/20,先負です
1914/03/17,1914/02/21,仏滅です
1914/03/18,1914/02/22,大安です
1914/03/19,1914/02/23,赤口です
1914/03/20,1914/02/24,先勝です
1914/03/21,1914/02/25,友引です
1914/03/22,1914/02/26,先負です
1914/03/23,1914/02/27,仏滅です
1914/03/24,1914/02/28,大安です
1914/03/25,1914/03/01,先負です
1914/03/26,1914/03/02,仏滅です
1914/03/27,1914/03/01,先負です
1914/03/28,1914/03/02,仏滅です
1914/03/29,1914/03/03,大安です
1914/03/30,1914/03/04,赤口です
1914/03/31,1914/03/05,先勝です
1914/04/01,1914/03/06,友引です
1914/04/02,1914/03/07,先負です
1914/04/03,1914/03/08,仏滅です
1914/04/04,1914/03/09,大安です
1914/04/05,1914/03/10,赤口です
1914/04/06,1914/03/11,先勝です
1914/04/07,1914/03/12,友引です
1914/04/08,1914/03/13,先負です
1914/04/09,1914/03/14,仏滅です
1914/04/10,1914/03/15,大安です
1914/04/11,1914/03/16,赤口です
1914/04/12,1914/03/17,先勝です
1914/04/13,1914/03/18,友引です
1914/04/14,1914/03/19,先負です
1914/04/15,1914/03/20,仏滅です
1914/04/16,1914/03/21,大安です
1914/04/17,1914/03/22,赤口です
1914/04/18,1914/03/23,先勝です
1914/04/19,1914/03/24,友引です
1914/04/20,1914/03/25,先負です
1914/04/21,1914/03/26,仏滅です
1914/04/22,1914/03/27,大安です
1914/04/23,1914/03/28,赤口です
1914/04/24,1914/03/29,先勝です
1914/04/25,1914/04/01,仏滅です
1914/04/26,1914/04/02,大安です
1914/04/27,1914/04/03,赤口です
1914/04/28,1914/04/04,先勝です
1914/04/29,1914/04/05,友引です
1914/04/30,1914/04/06,先負です
1914/05/01,1914/04/07,仏滅です
1914/05/02,1914/04/08,大安です
1914/05/03,1914/04/09,赤口です
1914/05/04,1914/04/10,先勝です
1914/05/05,1914/04/11,友引です
1914/05/06,1914/04/12,先負です
1914/05/07,1914/04/13,仏滅です
1914/05/08,1914/04/14,大安です
1914/05/09,1914/04/15,赤口です
1914/05/10,1914/04/16,先勝です
1914/05/11,1914/04/17,友引です
1914/05/12,1914/04/18,先負です
1914/05/13,1914/04/19,仏滅です
1914/05/14,1914/04/20,大安です
1914/05/15,1914/04/21,赤口です
1914/05/16,1914/04/22,先勝です
1914/05/17,1914/04/23,友引です
1914/05/18,1914/04/24,先負です
1914/05/19,1914/04/25,仏滅です
1914/05/20,1914/04/26,大安です
1914/05/21,1914/04/27,赤口です
1914/05/22,1914/04/28,先勝です
1914/05/23,1914/04/29,友引です
1914/05/24,1914/04/30,先負です
1914/05/25,1914/05/01,大安です
1914/05/26,1914/05/02,赤口です
1914/05/27,1914/05/03,先勝です
1914/05/28,1914/05/04,友引です
1914/05/29,1914/05/05,先負です
1914/05/30,1914/05/06,仏滅です
1914/05/31,1914/05/07,大安です
1914/06/01,1914/05/08,赤口です
1914/06/02,1914/05/09,先勝です
1914/06/03,1914/05/10,友引です
1914/06/04,1914/05/11,先負です
1914/06/05,1914/05/12,仏滅です
1914/06/06,1914/05/13,大安です
1914/06/07,1914/05/14,赤口です
1914/06/08,1914/05/15,先勝です
1914/06/09,1914/05/16,友引です
1914/06/10,1914/05/17,先負です
1914/06/11,1914/05/18,仏滅です
1914/06/12,1914/05/19,大安です
1914/06/13,1914/05/20,赤口です
1914/06/14,1914/05/21,先勝です
1914/06/15,1914/05/22,友引です
1914/06/16,1914/05/23,先負です
1914/06/17,1914/05/24,仏滅です
1914/06/18,1914/05/25,大安です
1914/06/19,1914/05/26,赤口です
1914/06/20,1914/05/27,先勝です
1914/06/21,1914/05/28,友引です
1914/06/22,1914/05/29,先負です
1914/06/23,1914/05/30,仏滅です
1914/06/24,1914/05/01,大安です
1914/06/25,1914/05/02,赤口です
1914/06/26,1914/05/03,先勝です
1914/06/27,1914/05/04,友引です
1914/06/28,1914/05/05,先負です
1914/06/29,1914/05/06,仏滅です
1914/06/30,1914/05/07,大安です
1914/07/01,1914/05/08,赤口です
1914/07/02,1914/05/09,先勝です
1914/07/03,1914/05/10,友引です
1914/07/04,1914/05/11,先負です
1914/07/05,1914/05/12,仏滅です
1914/07/06,1914/05/13,大安です
1914/07/07,1914/05/14,赤口です
1914/07/08,1914/05/15,先勝です
1914/07/09,1914/05/16,友引です
1914/07/10,1914/05/17,先負です
1914/07/11,1914/05/18,仏滅です
1914/07/12,1914/05/19,大安です
1914/07/13,1914/05/20,赤口です
1914/07/14,1914/05/21,先勝です
1914/07/15,1914/05/22,友引です
1914/07/16,1914/05/23,先負です
1914/07/17,1914/05/24,仏滅です
1914/07/18,1914/05/25,大安です
1914/07/19,1914/05/26,赤口です
1914/07/20,1914/05/27,先勝です
1914/07/21,1914/05/28,友引です
1914/07/22,1914/05/29,先負です
1914/07/23,1914/06/01,赤口です
1914/07/24,1914/06/02,先勝です
1914/07/25,1914/06/03,友引です
1914/07/26,1914/06/04,先負です
1914/07/27,1914/06/05,仏滅です
1914/07/28,1914/06/06,大安です
1914/07/29,1914/06/07,赤口です
1914/07/30,1914/06/08,先勝です
1914/07/31,1914/06/09,友引です
1914/08/01,1914/06/10,先負です
1914/08/02,1914/06/11,仏滅です
1914/08/03,1914/06/12,大安です
1914/08/04,1914/06/13,赤口です
1914/08/05,1914/06/14,先勝です
1914/08/06,1914/06/15,友引です
1914/08/07,1914/06/16,先負です
1914/08/08,1914/06/17,仏滅です
1914/08/09,1914/06/18,大安です
1914/08/10,1914/06/19,赤口です
1914/08/11,1914/06/20,先勝です
1914/08/12,1914/06/21,友引です
1914/08/13,1914/06/22,先負です
1914/08/14,1914/06/23,仏滅です
1914/08/15,1914/06/24,大安です
1914/08/16,1914/06/25,赤口です
1914/08/17,1914/06/26,先勝です
